"period","indexName","subIndex","priceChange","totalValue","priceChangeWeighted"
2004-03-01,"Consumer Price Index","Tech I ships",0.978454,183175438104.109,-0.011622
2004-03-01,"Consumer Price Index","Tech II modules",0.776754,8475131063.0509,-0.005571
2004-03-01,"Consumer Price Index","Tech II ships",0.873158,999360774.9116,-0.000373
2004-03-01,"Mineral Price Index","High-End Minerals",0.998007,187051619711.587,-0.00115
2004-03-01,"Mineral Price Index","Low-End Minerals",1.069291,136925923594.79,0.029285
2004-03-01,"Primary Producer Price Index","Commodity",0.595735,211658765.1862,-0.005502
2004-03-01,"Primary Producer Price Index","Ore",1.027195,12030154774.7247,0.021039
2004-03-01,"Primary Producer Price Index","Planetary Processed Materials",0.944964,724946472.5702,-0.002565
2004-03-01,"Primary Producer Price Index","Planetary Refined Commodities",0.979444,2112882142.512,-0.002793
2004-03-01,"Primary Producer Price Index","Planetary Specialized Commodities",0.956541,470032825.6008,-0.001313
2004-03-01,"Secondary Producer Price Index","Blueprints",1.001209,67978371722.0807,0.000307
2004-03-01,"Secondary Producer Price Index","Commodity",1.001568,191593588264.87,0.001122
2004-03-01,"Secondary Producer Price Index","Planetary Commodities",0.920784,551122306.6856,-0.000163
2004-03-01,"Secondary Producer Price Index","Planetary Refined Commodities",0.992329,3444861467.1401,-0.000098
2004-03-01,"Secondary Producer Price Index","Planetary Specialized Commodities",0.965386,1016294055.3676,-0.000131
2004-03-01,"Secondary Producer Price Index","Tech II construction components",0.863289,3063453331.9938,-0.001564
2004-04-01,"Consumer Price Index","Ammo",0.977448,13027263176.1049,-0.000655
2004-04-01,"Consumer Price Index","Commodity",1.062217,2091897712.7951,0.00029
2004-04-01,"Consumer Price Index","Drones",0.945051,3419089300.7154,-0.000419
2004-04-01,"Consumer Price Index","Implants",1.018795,56033560696.813,0.002349
2004-04-01,"Consumer Price Index","Skills",1.028748,78993792753.5106,0.005066
2004-04-01,"Consumer Price Index","Starbase structures",0.90046,5067913166.5099,-0.001125
2004-04-01,"Consumer Price Index","Tech I modules",0.970146,38131049611.5269,-0.002539
2004-04-01,"Consumer Price Index","Tech I ships",1.008224,232624121193.927,0.004268
